URL/IP, type, timestamp, harmless, malicious, suspicious, undetected, timeout
68.67.160.114, ips, 2022-01-13 20:57:53.071176, 78, 0, 0, 12, 0
8.28.7.81, ips, 2022-01-13 20:57:53.071176, 82, 0, 0, 9, 0
157.240.229.35, ips, 2022-01-13 20:57:53.071176, 79, 1, 1, 9, 0
52.0.156.250, ips, 2022-01-13 20:57:53.071176, 79, 0, 0, 11, 0
34.98.64.218, ips, 2022-01-13 20:57:53.071176, 78, 0, 0, 12, 0
141.226.224.48, ips, 2022-01-13 20:57:53.071176, 78, 0, 0, 12, 0
104.18.31.182, ips, 2022-01-13 20:57:53.071176, 79, 0, 0, 11, 0
104.18.20.226, ips, 2022-01-13 20:57:53.071176, 80, 0, 0, 10, 0
54.85.9.244, ips, 2022-01-13 20:57:53.071176, 89, 0, 0, 0, 0
157.240.229.1, ips, 2022-01-13 20:57:53.071176, 79, 0, 0, 11, 0
172.217.12.234, ips, 2022-01-13 20:57:53.071176, 80, 1, 0, 9, 0
172.217.2.118, ips, 2022-01-13 20:57:53.071176, 89, 0, 0, 0, 0
172.217.1.205, ips, 2022-01-13 20:57:53.071176, 89, 0, 0, 0, 0
142.251.45.3, ips, 2022-01-13 20:57:53.071176, 79, 0, 0, 11, 0
142.250.65.65, ips, 2022-01-13 20:57:53.071176, 79, 0, 0, 11, 0
142.250.73.230, ips, 2022-01-13 20:57:53.071176, 78, 0, 0, 12, 0
172.217.13.238, ips, 2022-01-13 20:57:53.071176, 80, 0, 0, 10, 0
52.35.251.160, ips, 2022-01-13 20:57:53.071176, 79, 0, 0, 11, 0
144.195.24.64, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
192.168.0.163, ips, 2022-01-13 21:07:45.799887, 80, 0, 0, 10, 0
144.195.24.173, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
157.240.229.55, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
3.220.159.105, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
151.101.129.67, ips, 2022-01-13 21:07:45.799887, 80, 0, 0, 10, 0
104.16.248.249, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
23.196.104.13, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
104.16.149.64, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
13.249.39.45, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
0.0.0.0, ips, 2022-01-13 21:07:45.799887, 79, 1, 0, 10, 0
255.255.255.255, ips, 2022-01-13 21:07:45.799887, 77, 2, 0, 11, 0
52.86.88.22, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
52.88.63.20, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
224.0.0.251, ips, 2022-01-13 21:07:45.799887, 78, 1, 0, 11, 0
199.232.192.64, ips, 2022-01-13 21:07:45.799887, 82, 0, 0, 9, 0
13.249.42.19, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
13.91.227.114, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
52.226.139.185, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
35.186.224.25, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
34.120.115.102, ips, 2022-01-13 21:07:45.799887, 78, 0, 0, 12, 0
34.120.237.76, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
170.114.15.132, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
34.203.97.10, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
23.222.5.49, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
34.120.208.123, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
13.32.196.87, ips, 2022-01-13 21:07:45.799887, 84, 0, 0, 7, 0
54.158.136.126, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
35.186.224.47, ips, 2022-01-13 21:07:45.799887, 80, 0, 0, 10, 0
140.82.113.25, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
54.204.238.15, ips, 2022-01-13 21:07:45.799887, 80, 0, 0, 10, 0
104.42.50.130, ips, 2022-01-13 21:07:45.799887, 89, 0, 0, 0, 0
142.250.81.202, ips, 2022-01-13 21:07:45.799887, 78, 0, 0, 12, 0
157.240.229.20, ips, 2022-01-13 21:07:45.799887, 79, 0, 0, 11, 0
